latitude,longitude,mean_cloud_cover,median_cloud_cover,mode_cloud_cover,min_cloud_cover,max_cloud_cover,inside_us
46.75,-122.75,0.75,1.0,1.0,0.0,1.0,True
46.75,-122.25,0.73525,0.9704999999999999,1.0,0.0,1.0,True
46.75,-121.75,0.79325,0.935,1.0,0.303,1.0,True
46.75,-121.25,0.805,1.0,1.0,0.22,1.0,True
46.75,-120.75,0.36025,0.2165,0.0,0.008,1.0,True
46.75,-120.25,0.391,0.457,0.6000000000000001,0.0,0.65,True
46.75,-119.75,0.311,0.27149999999999996,0.0,0.0,0.701,True
46.75,-119.25,0.054,0.0295,0.0,0.0,0.157,True
46.75,-118.75,0.19675,0.0845,0.0,0.0,0.618,True
46.75,-118.25,0.2225,0.006,0.0,0.0,0.878,True
46.75,-117.75,0.23825,0.0,0.0,0.0,0.953,True
46.75,-117.25,0.4755,0.4725,0.0,0.0,0.957,True
46.75,-116.75,0.499,0.498,0.0,0.0,1.0,True
46.75,-116.25,0.45175,0.4035,0.0,0.0,1.0,True
46.75,-115.75,0.63675,0.744,1.0,0.059,1.0,True
46.75,-115.25,0.62125,0.6655,1.0,0.154,1.0,True
46.75,-114.75,0.33375,0.148,0.0,0.039,1.0,True
46.75,-114.25,0.39475000000000005,0.28150000000000003,0.0,0.016,1.0,True
46.75,-113.75,0.376,0.185,0.0,0.134,1.0,True
46.75,-113.25,0.369,0.238,0.0,0.0,1.0,True
46.75,-112.75,0.4165,0.256,0.0,0.154,1.0,True
46.75,-112.25,0.31,0.12,0.0,0.0,1.0,True
46.75,-111.75,0.254,0.008,0.0,0.0,1.0,True
46.75,-111.25,0.15075000000000002,0.17149999999999999,0.0,0.047,0.213,True
46.75,-110.75,0.50075,0.5785,0.6000000000000001,0.102,0.744,True
46.75,-110.25,0.36699999999999994,0.39349999999999996,0.0,0.051,0.63,True
46.75,-109.75,0.30700000000000005,0.1475,0.0,0.063,0.87,True
46.75,-109.25,0.61725,0.622,0.2,0.276,0.949,True
46.75,-108.75,0.40449999999999997,0.2935,0.0,0.031,1.0,True
46.75,-108.25,0.25775,0.0155,0.0,0.0,1.0,True
46.75,-107.75,0.26175,0.0235,0.0,0.0,1.0,True
46.75,-107.25,0.4675,0.364,0.0,0.193,0.949,True
46.75,-106.75,0.443,0.451,0.0,0.0,0.87,True
46.75,-106.25,0.74325,0.88,1.0,0.213,1.0,True
46.75,-105.75,0.48524999999999996,0.4705,0.0,0.0,1.0,True
46.75,-105.25,0.47850000000000004,0.449,0.0,0.016,1.0,True
46.75,-104.75,0.48425,0.4685,0.4,0.0,1.0,True
46.75,-104.25,0.55025,0.6005,0.0,0.0,1.0,True
46.75,-103.75,0.66725,0.8345,0.0,0.0,1.0,True
46.75,-103.25,0.66025,0.8205,0.0,0.0,1.0,True
46.75,-102.75,0.6565,0.815,0.8,0.0,0.996,True
46.75,-102.25,0.70075,0.9055,0.8,0.0,0.992,True
46.75,-101.75,0.749,0.998,1.0,0.0,1.0,True
46.75,-101.25,0.6655,0.823,0.8,0.016,1.0,True
46.75,-100.75,0.9655,0.986,0.8,0.89,1.0,True
46.75,-100.25,0.7097500000000001,0.8625,0.0,0.114,1.0,True
46.75,-99.75,0.69775,0.7969999999999999,1.0,0.197,1.0,True
46.75,-99.25,0.71075,0.7245,1.0,0.394,1.0,True
46.75,-98.75,0.71825,0.917,0.8,0.039,1.0,True
46.75,-98.25,0.57775,0.6555,1.0,0.0,1.0,True
46.75,-97.75,0.5640000000000001,0.628,0.0,0.0,1.0,True
46.75,-97.25,0.57275,0.6455,0.0,0.0,1.0,True
46.75,-96.75,0.7105,0.7909999999999999,0.2,0.26,1.0,True
46.75,-96.25,0.365,0.22999999999999998,0.0,0.0,1.0,True
46.75,-95.75,0.49324999999999997,0.506,0.0,0.0,0.961,True
46.75,-95.25,0.5157499999999999,0.5315,0.0,0.0,1.0,True
46.75,-94.75,0.4745,0.44899999999999995,0.0,0.0,1.0,True
46.75,-94.25,0.44575,0.3915,0.0,0.0,1.0,True
46.75,-93.75,0.5295,0.5589999999999999,0.0,0.0,1.0,True
46.75,-93.25,0.509,0.518,0.0,0.0,1.0,True
46.75,-92.75,0.44975,0.3935,0.0,0.012,1.0,True
46.75,-92.25,0.502,0.4845,0.0,0.039,1.0,True
46.75,-91.25,0.17825000000000002,0.027500000000000004,0.0,0.004,0.654,True
46.75,-89.75,0.51475,0.5295000000000001,0.0,0.0,1.0,True
46.75,-89.25,0.5915,0.634,1.0,0.098,1.0,True
46.75,-88.75,0.8160000000000001,0.992,1.0,0.28,1.0,True
46.75,-88.25,0.745,0.87,1.0,0.24,1.0,True
46.75,-87.75,0.98325,1.0,1.0,0.933,1.0,True
46.75,-85.25,0.82175,1.0,1.0,0.287,1.0,True
46.75,-69.75,0.78425,0.9545,1.0,0.228,1.0,True
46.75,-69.25,0.7462500000000001,0.8585,1.0,0.268,1.0,True
46.75,-68.75,0.7715000000000001,0.933,1.0,0.22,1.0,True
46.75,-68.25,0.7175,0.935,1.0,0.0,1.0,True
46.25,-123.25,0.60525,0.7105,1.0,0.0,1.0,True
46.25,-122.75,0.6575,0.815,0.8,0.0,1.0,True
46.25,-122.25,0.75,1.0,1.0,0.0,1.0,True
46.25,-121.75,0.6652499999999999,0.6945,0.2,0.272,1.0,True
46.25,-121.25,0.625,0.6930000000000001,1.0,0.114,1.0,True
46.25,-120.75,0.18100000000000002,0.0315,0.0,0.0,0.661,True
46.25,-120.25,0.17525000000000002,0.0335,0.0,0.0,0.634,True
46.25,-119.75,0.23725,0.1025,0.0,0.0,0.744,True
46.25,-119.25,0.04925,0.004,0.0,0.0,0.189,True
46.25,-118.75,0.08375,0.0,0.0,0.0,0.335,True
46.25,-118.25,0.16325,0.0195,0.0,0.0,0.614,True
46.25,-117.75,0.314,0.132,0.0,0.0,0.992,True
46.25,-117.25,0.2225,0.008,0.0,0.0,0.874,True
46.25,-116.75,0.2215,0.0475,0.0,0.0,0.791,True
46.25,-116.25,0.4115,0.3505,0.0,0.0,0.945,True
46.25,-115.75,0.503,0.506,0.0,0.0,1.0,True
46.25,-115.25,0.5589999999999999,0.567,0.0,0.102,1.0,True
46.25,-114.75,0.5,0.443,0.0,0.114,1.0,True
46.25,-114.25,0.49,0.42100000000000004,0.0,0.118,1.0,True
46.25,-113.75,0.4565,0.413,0.0,0.0,1.0,True
46.25,-113.25,0.3495,0.16549999999999998,0.0,0.067,1.0,True
46.25,-112.75,0.25,0.0,0.0,0.0,1.0,True
46.25,-112.25,0.45975,0.3545,0.0,0.13,1.0,True
46.25,-111.75,0.554,0.5035000000000001,0.4,0.24,0.969,True
46.25,-111.25,0.37999999999999995,0.2775,0.0,0.0,0.965,True
46.25,-110.75,0.17900000000000002,0.1375,0.0,0.039,0.402,True
46.25,-110.25,0.48625,0.4625,0.4,0.24,0.78,True
46.25,-109.75,0.668,0.665,0.4,0.409,0.933,True
46.25,-109.25,0.43125,0.3645,0.0,0.0,0.996,True
46.25,-108.75,0.2755,0.051,0.0,0.0,1.0,True
46.25,-108.25,0.57975,0.6595,0.0,0.0,1.0,True
46.25,-107.75,0.45749999999999996,0.41500000000000004,0.0,0.0,1.0,True
46.25,-107.25,0.496,0.492,0.0,0.0,1.0,True
46.25,-106.75,0.49024999999999996,0.512,0.4,0.303,0.634,True
46.25,-106.25,0.6092500000000001,0.628,0.0,0.181,1.0,True
46.25,-105.75,0.5619999999999999,0.44899999999999995,0.4,0.35,1.0,True
46.25,-105.25,0.6327499999999999,0.559,0.4,0.413,1.0,True
46.25,-104.75,0.57975,0.6595,0.6000000000000001,0.0,1.0,True
46.25,-104.25,0.5680000000000001,0.6085,0.0,0.055,1.0,True
46.25,-103.75,0.56575,0.6315,0.0,0.0,1.0,True
46.25,-103.25,0.6615,0.823,0.0,0.0,1.0,True
46.25,-102.75,0.58875,0.6930000000000001,0.0,0.008,0.961,True
46.25,-102.25,0.685,0.884,0.8,0.0,0.972,True
46.25,-101.75,0.629,0.758,0.6000000000000001,0.0,1.0,True
46.25,-101.25,0.6729999999999999,0.7829999999999999,0.0,0.126,1.0,True
46.25,-100.75,0.5855,0.671,0.0,0.0,1.0,True
46.25,-100.25,0.63575,0.75,1.0,0.043,1.0,True
46.25,-99.75,0.54625,0.5925,0.0,0.0,1.0,True
46.25,-99.25,0.804,0.996,1.0,0.224,1.0,True
46.25,-98.75,0.54225,0.5630000000000001,0.8,0.098,0.945,True
46.25,-98.25,0.54525,0.5905,0.0,0.0,1.0,True
46.25,-97.75,0.4115,0.323,0.0,0.0,1.0,True
46.25,-97.25,0.60825,0.687,0.0,0.059,1.0,True
46.25,-96.75,0.317,0.134,0.0,0.0,1.0,True
46.25,-96.25,0.5395,0.567,0.0,0.024,1.0,True
46.25,-95.75,0.46075,0.4215,0.0,0.0,1.0,True
46.25,-95.25,0.252,0.004,0.0,0.0,1.0,True
46.25,-94.75,0.32775,0.1555,0.0,0.0,1.0,True
46.25,-94.25,0.434,0.368,0.0,0.0,1.0,True
46.25,-93.75,0.38775,0.27549999999999997,0.0,0.0,1.0,True
46.25,-93.25,0.45275,0.4055,0.0,0.0,1.0,True
46.25,-92.75,0.32175,0.1435,0.0,0.0,1.0,True
46.25,-92.25,0.45075,0.4015,0.0,0.0,1.0,True
