,lat,lon,mean_cloud_cover,median_cloud_cover,mode_cloud_cover,min_cloud_cover,max_cloud_cover
172,51.0,-82.73529411764706,0.66785,0.736,1.0,0.0,1.0
173,51.0,-82.05392156862746,0.80665,0.992,1.0,0.024,1.0
174,51.0,-81.37254901960785,0.68895,0.9565,1.0,0.004,1.0
175,51.0,-80.69117647058823,0.71515,0.9785,1.0,0.0,1.0
176,51.0,-80.00980392156862,0.61025,0.9175,1.0,0.0,1.0
177,51.0,-79.32843137254902,0.5912,0.7715,1.0,0.0,1.0
178,51.0,-78.64705882352942,0.5075,0.4625,0.0,0.0,1.0
179,51.0,-77.9656862745098,0.5767500000000001,0.5495,1.0,0.0,1.0
180,51.0,-77.2843137254902,0.5134000000000001,0.492,1.0,0.0,1.0
181,51.0,-76.60294117647058,0.5483999999999999,0.748,0.0,0.0,1.0
182,51.0,-75.92156862745098,0.5532,0.636,1.0,0.0,1.0
183,51.0,-75.24019607843137,0.58525,0.746,1.0,0.0,1.0
184,51.0,-74.55882352941177,0.6173,0.7835,1.0,0.0,1.0
185,51.0,-73.87745098039215,0.5649,0.856,1.0,0.0,1.0
186,51.0,-73.19607843137254,0.5257999999999999,0.5509999999999999,1.0,0.0,1.0
187,51.0,-72.51470588235294,0.704,0.8625,1.0,0.0,1.0
188,51.0,-71.83333333333333,0.77185,1.0,1.0,0.0,1.0
189,51.0,-71.15196078431373,0.8085999999999999,1.0,1.0,0.0,1.0
190,51.0,-70.47058823529412,0.7020500000000001,0.99,1.0,0.0,1.0
191,51.0,-69.7892156862745,0.70825,0.88,1.0,0.0,1.0
192,51.0,-69.1078431372549,0.73425,0.8919999999999999,1.0,0.0,1.0
193,51.0,-68.42647058823529,0.7144,0.947,1.0,0.0,1.0
194,51.0,-67.74509803921569,0.6420999999999999,0.992,1.0,0.0,1.0
195,51.0,-67.06372549019608,0.69585,0.931,1.0,0.0,1.0
196,51.0,-66.38235294117646,0.6611,0.8505,1.0,0.0,1.0
197,51.0,-65.70098039215686,0.5526,0.5,1.0,0.0,1.0
198,51.0,-65.01960784313725,0.59525,0.744,1.0,0.0,1.0
199,51.0,-64.33823529411765,0.6203000000000001,0.778,1.0,0.0,1.0
200,51.0,-63.65686274509804,0.54015,0.512,1.0,0.0,1.0
201,51.0,-62.975490196078425,0.6112500000000001,0.8385,1.0,0.0,1.0
202,51.0,-62.294117647058826,0.7121999999999999,0.935,1.0,0.0,1.0
203,51.0,-61.61274509803921,0.6504,0.996,1.0,0.0,1.0
204,51.0,-60.9313725490196,0.69815,0.9525,1.0,0.0,1.0
205,51.0,-60.25,0.61255,0.756,1.0,0.0,1.0
206,50.25,-129.75,0.8248,0.9665,1.0,0.217,1.0
207,50.25,-129.0686274509804,0.78935,0.9055,1.0,0.173,1.0
208,50.25,-128.38725490196077,0.7631500000000001,0.949,1.0,0.11,1.0
209,50.25,-127.70588235294117,0.7563000000000001,0.929,1.0,0.087,1.0
210,50.25,-127.02450980392157,0.7301,0.982,1.0,0.0,1.0
211,50.25,-126.34313725490196,0.7718,0.921,1.0,0.0,1.0
212,50.25,-125.66176470588235,0.7196999999999999,0.9235,1.0,0.0,1.0
213,50.25,-124.98039215686275,0.7052,0.951,1.0,0.028,1.0
214,50.25,-124.29901960784314,0.72615,0.8465,1.0,0.0,1.0
215,50.25,-123.61764705882354,0.7803500000000001,0.9275,1.0,0.118,1.0
216,50.25,-122.93627450980392,0.76415,0.947,1.0,0.0,1.0
217,50.25,-122.25490196078431,0.6981999999999999,0.8305,1.0,0.098,1.0
218,50.25,-121.57352941176471,0.7563500000000001,0.9725,1.0,0.13,1.0
219,50.25,-120.8921568627451,0.7815000000000001,0.99,1.0,0.035,1.0
220,50.25,-120.2107843137255,0.75905,0.98,1.0,0.024,1.0
221,50.25,-119.52941176470588,0.7659,0.917,1.0,0.102,1.0
222,50.25,-118.84803921568627,0.75825,0.9605,1.0,0.075,1.0
223,50.25,-118.16666666666667,0.8187000000000001,0.9545,1.0,0.272,1.0
224,50.25,-117.48529411764706,0.8160000000000001,0.943,1.0,0.272,1.0
225,50.25,-116.80392156862744,0.8288500000000001,0.984,1.0,0.232,1.0
226,50.25,-116.12254901960785,0.78545,0.961,1.0,0.047,1.0
227,50.25,-115.44117647058823,0.6752499999999999,0.864,1.0,0.016,1.0
228,50.25,-114.75980392156863,0.68735,0.8505,1.0,0.0,1.0
229,50.25,-114.07843137254902,0.7555,0.732,1.0,0.102,1.0
230,50.25,-113.39705882352942,0.82195,0.9585,1.0,0.039,1.0
231,50.25,-112.7156862745098,0.8249500000000001,0.976,1.0,0.02,1.0
232,50.25,-112.0343137254902,0.7609,0.951,1.0,0.012,1.0
233,50.25,-111.35294117647058,0.6708999999999999,0.8525,1.0,0.0,1.0
234,50.25,-110.67156862745098,0.7002499999999999,0.957,1.0,0.004,1.0
235,50.25,-109.99019607843137,0.64035,0.876,1.0,0.063,1.0
236,50.25,-109.30882352941177,0.8122,0.992,1.0,0.193,1.0
237,50.25,-108.62745098039215,0.72975,0.951,1.0,0.0,1.0
238,50.25,-107.94607843137254,0.85795,0.9645,1.0,0.382,1.0
239,50.25,-107.26470588235294,0.78575,0.8385,1.0,0.11,1.0
240,50.25,-106.58333333333333,0.8585500000000001,0.9665,1.0,0.382,1.0
241,50.25,-105.90196078431373,0.73975,0.8385,1.0,0.0,1.0
242,50.25,-105.22058823529412,0.7082499999999999,0.8680000000000001,1.0,0.0,1.0
243,50.25,-104.5392156862745,0.6446500000000001,0.72,1.0,0.0,1.0
244,50.25,-103.8578431372549,0.6999500000000001,0.929,1.0,0.0,1.0
245,50.25,-103.17647058823529,0.7480499999999999,1.0,1.0,0.0,1.0
246,50.25,-102.49509803921569,0.7233,1.0,1.0,0.0,1.0
247,50.25,-101.81372549019608,0.74165,0.98,1.0,0.0,1.0
248,50.25,-101.13235294117646,0.6733,0.9805,1.0,0.0,1.0
249,50.25,-100.45098039215686,0.6736000000000001,0.9195,1.0,0.0,1.0
250,50.25,-99.76960784313725,0.6614,0.935,1.0,0.0,1.0
